id,id_eleve,id_matiere,note
169,21,7,14.0
170,21,8,12.5
171,22,1,7.0
172,22,2,20.0
173,22,3,17.5
174,22,4,5.5
175,22,5,4.0
176,22,6,12.5
177,22,7,4.5
178,22,8,10.5
179,23,1,9.0
180,23,2,9.5
181,23,3,4.0
182,23,4,7.5
183,23,5,11.5
184,23,6,20.0
185,23,7,17.5
186,23,8,10.5
187,24,1,5.0
188,24,2,7.0
189,24,3,14.5
190,24,4,11.0
191,24,5,1.5
192,24,6,12.0
193,24,7,1.0
194,24,8,13.5
195,25,1,6.0
196,25,2,19.5
197,25,3,8.0
198,25,4,17.0
199,25,5,19.5
200,25,6,6.0
201,25,7,3.5
202,25,8,19.0
203,26,1,19.5
204,26,2,18.5
205,26,3,4.5
206,26,4,2.5
207,26,5,7.5
208,26,6,16.5
209,26,7,17.0
210,26,10,1.0
211,27,1,5.5
212,27,2,12.5
213,27,3,14.0
214,27,4,10.5
215,27,5,14.5
216,27,6,10.5
217,27,7,4.5
218,27,8,3.5
219,28,1,18.0
220,28,2,13.5
221,28,3,12.0
222,28,4,17.0
223,28,5,18.5
224,28,6,7.5
225,28,7,16.0
226,28,8,1.0
227,29,1,14.0
228,29,2,9.5
229,29,3,19.0
230,29,4,13.5
231,29,5,8.5
232,29,6,17.0
233,29,7,20.0
234,29,8,12.0
235,30,1,6.0
236,30,2,2.0
237,30,3,1.0
238,30,4,19.5
239,30,5,3.0
240,30,6,9.0
241,30,7,2.0
242,30,9,14.5
243,31,1,5.0
244,31,2,19.0
245,31,3,1.5
246,31,4,15.0
247,31,5,15.5
248,31,6,0.5
249,31,7,5.0
250,31,8,12.0
251,32,1,15.0
252,32,2,20.0
253,32,3,15.5
254,32,4,0.5
255,32,5,5.0
256,32,6,2.5
257,32,7,15.5
258,32,8,14.5
259,33,1,14.0
260,33,2,12.0
261,33,3,15.0
262,33,4,10.0
263,33,5,5.5
264,33,6,5.0
265,33,7,19.0
266,33,8,16.5
267,34,1,12.5
268,34,2,6.0
269,34,3,1.0
270,34,4,10.0
271,34,5,17.0
272,34,6,6.0
273,34,7,11.5
274,34,8,17.5
275,35,1,4.5
276,35,2,4.0
277,35,3,14.5
278,35,4,18.0
279,35,5,15.5
280,35,6,11.5
281,35,7,18.0
282,35,11,12.5
283,36,1,19.0
284,36,2,11.0
285,36,3,7.0
286,36,4,16.5
287,36,5,2.0
288,36,6,11.0
289,36,7,13.5
290,36,8,11.0
291,37,1,10.0
292,37,2,7.0
293,37,3,13.0
294,37,4,15.5
295,37,5,14.5
296,37,6,1.5
297,37,7,19.5
298,37,8,11.0
299,38,1,12.0
300,38,2,2.5
301,38,3,7.5
302,38,4,9.0
303,38,5,3.5
304,38,6,1.0
305,38,7,19.0
306,38,9,10.0
307,39,1,1.0
308,39,2,17.5
309,39,3,4.5
310,39,4,0.5
311,39,5,18.0
312,39,6,1.5
313,39,7,19.0
314,39,8,10.0
315,39,10,3.5
316,40,1,17.0
317,40,2,13.5
318,40,3,0.5
319,40,4,9.0
320,40,5,2.5
321,40,6,5.5
322,40,7,7.0
323,40,8,8.0
324,41,1,20.0
325,41,2,13.0
326,41,3,7.5
327,41,4,5.0
328,41,5,15.0
329,41,6,18.5
330,41,7,2.0
331,41,9,20.0
332,42,1,15.5
333,42,2,10.0
334,42,3,20.0
335,42,4,12.5
336,42,5,2.0
337,42,6,18.0
338,42,7,15.0
339,42,8,4.0
340,42,12,16.5
341,43,1,6.0
342,43,2,11.0
343,43,3,2.5
344,43,4,11.0
345,43,5,15.0
346,43,6,20.0
347,43,7,2.0
348,43,8,2.5
349,44,1,12.5
350,44,2,18.0
351,44,3,1.0
352,44,4,8.5
353,44,5,17.5
354,44,6,4.0
355,44,7,10.0
356,44,11,0.5
357,45,1,13.0
358,45,2,8.0
359,45,3,5.0
360,45,4,6.5
361,45,5,20.0
362,45,6,8.5
363,45,7,7.0
364,45,8,13.0
365,46,1,6.5
366,46,2,10.5
367,46,3,16.5
368,46,4,6.0
369,46,5,5.0
370,46,6,19.0
371,46,7,4.5
372,46,8,0.5
373,47,1,8.5
374,47,2,1.5
375,47,3,4.5
376,47,4,11.5
377,47,5,11.0
378,47,6,9.0
379,47,7,5.5
380,47,8,16.0
381,48,1,14.0
382,48,2,8.5
383,48,3,11.0
384,48,4,5.5
385,48,5,12.0
386,48,6,18.0
387,48,7,4.5
388,48,9,8.5
389,49,1,13.5
390,49,2,6.0
391,49,3,4.0
392,49,4,7.5
393,49,5,15.0
394,49,6,13.5
395,49,7,4.5
396,49,8,4.5
397,50,1,7.5
398,50,2,16.0
399,50,3,19.0
400,50,4,4.5
401,50,5,15.0
402,50,6,14.0
403,50,7,7.0
404,50,10,13.5
405,51,1,0.5
406,51,2,17.5
407,51,3,3.0
408,51,4,9.5
409,51,5,8.0
410,51,6,12.0
411,51,7,11.5
412,51,8,9.0
413,52,1,9.5
414,52,2,14.0
415,52,3,8.5
416,52,4,9.0
417,52,5,9.0
418,52,6,15.0
419,52,7,7.5
420,52,8,9.0
421,52,11,6.5
422,53,1,7.5
423,53,2,11.5
424,53,3,17.5
425,53,4,14.5
426,53,5,19.0
427,53,6,2.0
428,53,7,19.5
429,53,8,8.0
430,54,1,5.5
431,54,2,1.0
432,54,3,6.5
433,54,4,1.5
434,54,5,11.5
435,54,6,15.0
436,54,7,14.5
437,54,8,15.5
438,55,1,11.0
439,55,2,8.5
440,55,3,18.5
441,55,4,15.0
442,55,5,14.5
443,55,6,2.5
444,55,7,7.0
445,55,8,1.0
446,56,1,3.5
447,56,2,5.0
448,56,3,4.0
449,56,4,4.0
450,56,5,2.0
451,56,6,8.0
452,56,7,9.5
453,56,8,0.5
454,57,1,1.0
455,57,2,19.5
456,57,3,8.0
457,57,4,12.5
458,57,5,2.0
459,57,6,2.0
460,57,7,1.0
461,57,8,13.0
462,58,1,6.5
463,58,2,9.0
464,58,3,0.5
465,58,4,10.5
466,58,5,19.5
467,58,6,2.5
468,58,7,17.5
469,58,10,20.0
470,59,1,14.0
471,59,2,17.0
472,59,3,8.5
473,59,4,12.5
474,59,5,18.5
475,59,6,12.5
476,59,7,4.0
477,59,8,15.5
478,60,1,8.5
479,60,2,1.5
480,60,3,19.5
481,60,4,18.0
482,60,5,16.5
483,60,6,19.5
484,60,7,7.5
485,60,8,10.0
486,61,1,7.5
487,61,2,3.5
488,61,3,8.5
489,61,4,15.0
490,61,5,12.5
491,61,6,15.5
492,61,7,8.0
493,61,8,6.0
494,62,1,16.5
495,62,2,4.5
496,62,3,7.0
497,62,4,5.0
498,62,5,17.0
499,62,6,5.5
500,62,7,14.0
501,62,8,9.0
502,63,1,9.0
503,63,2,12.5
504,63,3,5.5
505,63,4,18.0
506,63,5,2.0
507,63,6,6.0
508,63,7,4.5
509,63,11,14.0
510,64,1,6.5
511,64,2,8.0
512,64,3,14.0
513,64,4,11.0
514,64,5,10.0
515,64,6,15.0
516,64,7,18.0
517,64,8,4.0
518,65,1,17.5
519,65,2,2.0
520,65,3,8.5
521,65,4,8.5
522,65,5,19.0
523,65,6,14.5
524,65,7,12.5
525,65,8,16.0
526,66,1,1.0
527,66,2,11.5
528,66,3,2.5
529,66,4,8.0
530,66,5,12.0
531,66,6,16.5
532,66,7,19.0
533,67,1,17.5
534,67,2,7.0
535,67,3,11.5
536,67,4,15.0
537,67,5,5.0
538,67,6,10.0
539,67,7,13.0
540,67,10,18.5
541,68,1,5.5
542,68,2,1.0
543,68,3,5.0
544,68,4,6.5
545,68,5,13.0
546,68,6,7.0
547,68,7,11.0
548,68,8,10.5
549,69,1,1.0
550,69,2,3.0
551,69,3,8.5
552,69,4,11.5
553,69,5,19.0
554,69,6,0.5
555,69,7,10.0
556,69,8,14.5
557,70,1,18.5
558,70,2,7.5
559,70,3,0.5
560,70,4,19.5
561,70,5,13.5
562,70,6,9.5
563,70,7,5.5
564,70,9,4.0
565,71,1,8.5
566,71,2,2.0
567,71,3,15.5
568,71,4,2.0
569,71,5,17.0
570,71,6,14.0
571,71,7,13.0
572,71,8,19.5
573,72,1,5.5
574,72,2,6.0
575,72,3,19.0
576,72,4,3.5
577,72,5,6.0
578,72,6,14.0
579,72,7,19.5
580,72,8,4.5
581,72,12,7.0
582,73,1,1.5
583,73,2,8.0
584,73,3,19.5
585,73,4,8.0
586,73,5,10.0
587,73,6,9.0
588,73,7,17.5
589,73,8,14.0
590,73,10,16.5
591,74,1,9.5
592,74,2,1.5
593,74,3,19.5
594,74,4,6.5
595,74,5,4.5
596,74,6,18.0
597,74,7,17.5
598,74,8,7.5
599,75,1,17.5
600,75,2,15.5
601,75,3,11.5
602,75,4,3.5
603,75,5,1.0
604,75,6,8.5
605,75,7,13.5
606,75,11,15.5
607,76,1,19.0
608,76,2,3.5
609,76,3,5.0
610,76,4,5.0
611,76,5,3.5
612,76,6,7.0
613,76,7,6.5
614,77,1,11.5
615,77,2,8.0
616,77,3,2.5
617,77,4,11.0
618,77,5,6.5
619,77,6,2.0
620,77,7,16.5
621,77,8,2.0
622,77,11,8.5
623,78,1,8.5
624,78,2,10.5
625,78,3,9.5
626,78,4,6.5
627,78,5,15.0
628,78,6,19.0
629,78,7,16.0
630,78,8,11.0
631,79,1,4.5
632,79,2,5.5
633,79,3,6.5
634,79,4,12.5
635,79,5,17.0
636,79,6,9.0
637,79,7,17.5
638,79,8,1.5
639,80,1,19.0
640,80,2,7.0
641,80,3,6.5
642,80,4,15.5
643,80,5,5.5
644,80,6,15.0
645,80,7,8.0
646,80,8,13.5
647,81,1,4.0
648,81,2,10.0
649,81,3,17.0
650,81,4,5.0
651,81,5,3.5
652,81,6,11.0
653,81,7,12.0
654,81,8,4.0
655,82,1,9.5
656,82,2,1.5
657,82,3,1.0
658,82,4,13.0
659,82,5,16.5
660,82,6,17.5
661,82,7,20.0
662,82,8,6.5
663,83,1,19.0
664,83,2,1.0
665,83,3,12.5
666,83,4,12.5
667,83,5,8.0
668,83,6,19.5
669,83,7,11.0
670,83,8,3.0
671,84,1,5.0
672,84,2,11.5
673,84,3,6.0
674,84,4,15.0
675,84,5,17.5
676,84,6,12.5
677,84,7,1.0
678,84,8,11.5
679,85,1,4.5
680,85,2,5.5
681,85,3,16.5
682,85,4,12.5
683,85,5,19.5
684,85,6,4.0
685,85,7,16.0
686,85,9,5.5
687,86,1,16.5
688,86,2,15.0
689,86,3,15.0
690,86,4,6.5
691,86,5,13.0
692,86,6,8.5
693,86,7,1.0
694,86,8,5.0
695,87,1,5.0
696,87,2,18.5
697,87,3,3.5
698,87,4,13.0
699,87,5,7.0
700,87,6,17.0
701,87,7,10.5
702,87,9,14.5
703,88,1,1.5
704,88,2,3.0
705,88,3,7.5
706,88,4,9.5
707,88,5,14.5
708,88,6,10.0
709,88,7,7.5
710,88,9,15.0
711,89,1,5.0
712,89,2,5.0
713,89,3,10.0
714,89,4,0.5
715,89,5,17.0
716,89,6,11.5
717,89,7,17.5
718,89,8,16.5
719,90,1,9.0
720,90,2,5.0
721,90,3,7.0
722,90,4,17.0
723,90,5,15.5
724,90,6,12.0
725,90,7,11.0
726,90,9,14.5
727,91,1,1.5
728,91,2,4.5
729,91,3,12.5
730,91,4,15.5
731,91,5,4.0
732,91,6,4.5
733,91,7,4.5
734,92,1,7.0
735,92,2,3.0
736,92,3,12.0
737,92,4,8.0
738,92,5,9.5
739,92,6,17.5
740,92,7,13.0
741,92,8,16.5
742,93,1,13.5
743,93,2,2.0
744,93,3,5.5
745,93,4,3.5
746,93,5,8.5
747,93,6,11.5
748,93,7,6.5
749,93,8,19.5
750,94,1,5.5
751,94,2,13.0
752,94,3,15.0
753,94,4,6.0
754,94,5,14.5
755,94,6,3.5
756,94,7,3.0
757,94,8,15.0
758,95,1,15.5
759,95,2,1.0
760,95,3,19.0
761,95,4,19.0
762,95,5,11.0
763,95,6,7.5
764,95,7,18.5
765,95,8,14.0
766,96,1,11.0
767,96,2,11.0
768,96,3,6.5
769,96,4,19.5
770,96,5,16.5
771,96,6,9.0
772,96,7,11.0
773,97,1,3.5
774,97,2,7.5
775,97,3,3.0
776,97,4,12.5
777,97,5,3.5
778,97,6,16.5
779,97,7,9.5
780,97,8,11.0
781,97,12,9.0
782,98,1,8.0
783,98,2,18.5
784,98,3,12.5
785,98,4,2.5
786,98,5,2.5
787,98,6,15.5
788,98,7,13.5
789,99,1,9.0
790,99,2,16.5
791,99,3,1.5
792,99,4,10.0
793,99,5,11.0
794,99,6,19.5
795,99,7,5.5
796,99,8,0.5
797,100,1,10.5
798,100,2,4.0
799,100,3,16.5
800,100,4,13.5
801,100,5,19.5
802,100,6,11.0
803,100,7,9.5
804,100,8,1.5
805,101,1,15.0
806,101,2,5.0
807,101,3,15.5
808,101,4,7.0
809,101,5,19.0
810,101,6,12.5
811,101,7,3.5
812,101,8,4.0
813,101,11,18.5
814,102,1,4.5
815,102,2,10.5
816,102,3,19.5
817,102,4,3.5
818,102,5,13.0
819,102,6,3.5
820,102,7,15.5
821,102,8,15.0
822,102,10,17.0
823,103,1,9.0
824,103,2,19.0
825,103,3,2.0
826,103,4,11.0
827,103,5,14.5
828,103,6,11.0
829,103,7,18.5
830,103,8,9.0
831,104,1,18.0
832,104,2,6.0
833,104,3,0.5
834,104,4,7.0
835,104,5,12.5
836,104,6,2.0
837,104,7,3.5
838,104,8,5.5
839,105,1,18.0
840,105,2,12.0
841,105,3,19.0
842,105,4,7.0
843,105,5,9.5
844,105,6,1.5
845,105,7,6.5
846,105,8,18.0
847,106,1,17.0
848,106,2,5.0
849,106,3,1.0
850,106,4,15.0
851,106,5,5.5
852,106,6,19.0
853,106,7,4.5
854,106,8,13.5
855,107,1,17.0
856,107,2,14.5
857,107,3,10.0
858,107,4,5.5
859,107,5,13.5
860,107,6,7.0
861,107,7,4.0
862,107,8,19.0
863,108,1,3.5
864,108,2,9.5
865,108,3,6.0
866,108,4,4.5
867,108,5,19.5
868,108,6,20.0
869,108,7,12.5
870,108,8,13.0
871,109,1,14.0
872,109,2,18.0
873,109,3,12.5
874,109,4,16.0
875,109,5,13.0
876,109,6,4.5
877,109,7,16.0
878,109,9,16.5
879,110,1,1.0
880,110,2,13.5
881,110,3,15.5
882,110,4,7.5
883,110,5,8.0
884,110,6,1.5
885,110,7,2.0
886,110,8,19.5
887,111,1,4.5
888,111,2,8.0
889,111,3,0.5
890,111,4,15.0
891,111,5,5.0
892,111,6,2.5
893,111,7,17.0
894,112,1,3.0
895,112,2,7.5
896,112,3,12.5
897,112,4,1.5
898,112,5,8.5
899,112,6,11.5
900,112,7,9.5
901,112,8,7.5
902,113,1,19.0
903,113,2,10.0
904,113,3,19.5
905,113,4,9.0
906,113,5,16.0
907,113,6,7.5
908,113,7,3.5
909,114,1,10.0
910,114,2,4.5
911,114,3,2.0
912,114,4,19.0
913,114,5,15.0
914,114,6,7.0
915,114,7,1.5
916,114,8,18.5
917,115,1,10.0
918,115,2,7.5
919,115,3,3.0
920,115,4,8.5
921,115,5,13.5
922,115,6,1.5
923,115,7,5.5
924,116,1,14.5
925,116,2,6.5
926,116,3,1.0
927,116,4,14.0
928,116,5,16.5
929,116,6,15.0
930,116,7,1.0
931,116,8,5.5
932,117,1,15.5
933,117,2,0.5
934,117,3,18.5
935,117,4,1.0
936,117,5,11.5
937,117,6,18.0
938,117,7,17.0
939,117,8,19.0
940,117,11,8.0
941,118,1,5.5
942,118,2,2.0
943,118,3,15.5
944,118,4,7.0
945,118,5,0.5
946,118,6,2.0
947,118,7,7.5
948,119,1,8.5
949,119,2,3.0
950,119,3,7.5
951,119,4,4.0
952,119,5,5.0
953,119,6,9.5
954,119,7,16.5
955,119,8,2.5
956,120,1,4.5
957,120,2,6.5
958,120,3,4.5
959,120,4,16.0
960,120,5,8.0
961,120,6,4.0
962,120,7,12.0
963,121,1,14.5
964,121,2,6.5
965,121,3,19.0
966,121,4,13.5
967,121,5,13.0
968,121,6,7.0
969,121,7,13.0
970,121,8,16.5
971,122,1,3.5
972,122,2,12.0
973,122,3,4.0
974,122,4,18.5
975,122,5,7.5
976,122,6,15.0
977,122,7,1.5
978,122,8,9.5
979,123,1,2.0
980,123,2,14.5
981,123,3,1.5
982,123,4,19.5
983,123,5,9.5
984,123,6,4.0
985,123,7,10.5
986,123,8,8.0
987,124,1,7.5
988,124,2,4.0
989,124,3,9.5
990,124,4,16.5
991,124,5,11.5
992,124,6,16.0
993,124,7,13.5
994,124,10,13.0
995,125,1,4.5
996,125,2,10.5
997,125,3,14.0
998,125,4,5.0
999,125,5,8.5
1000,125,6,18.0
1001,125,7,17.5
1002,125,11,14.0
1003,126,1,4.5
1004,126,2,7.5
1005,126,3,10.0
1006,126,4,0.5
1007,126,5,9.0
1008,126,6,7.0
1009,126,7,8.5
1010,126,8,7.5
1011,127,1,4.5
1012,127,2,16.0
1013,127,3,14.5
1014,127,4,12.5
1015,127,5,20.0
1016,127,6,19.0
1017,127,7,11.5
1018,127,8,12.5
1019,128,1,14.5
1020,128,2,11.5
1021,128,3,14.0
1022,128,4,12.0
1023,128,5,14.5
1024,128,6,11.0
1025,128,7,19.0
1026,128,8,15.5
1027,128,11,16.5
1028,129,1,11.0
1029,129,2,6.0
1030,129,3,14.5
1031,129,4,14.5
1032,129,5,6.0
1033,129,6,12.5
1034,129,7,7.5
1035,129,8,6.0
1036,130,1,9.0
1037,130,2,16.5
1038,130,3,13.5
1039,130,4,2.0
1040,130,5,8.0
1041,130,6,5.5
1042,130,7,12.5
1043,131,1,9.0
1044,131,2,9.5
1045,131,3,10.5
1046,131,4,10.0
1047,131,5,2.5
1048,131,6,6.0
1049,131,7,17.0
1050,131,8,12.0
1051,132,1,19.0
1052,132,2,4.5
1053,132,3,7.0
1054,132,4,9.0
1055,132,5,10.0
1056,132,6,1.5
1057,132,7,10.0
1058,132,9,3.0
1059,133,1,19.0
1060,133,2,5.5
1061,133,3,6.5
1062,133,4,7.5
1063,133,5,19.5
1064,133,6,18.5
1065,133,7,6.0
1066,133,8,4.0
1067,134,1,16.5
1068,134,2,0.5
1069,134,3,20.0
1070,134,4,19.5
1071,134,5,18.0
1072,134,6,7.5
1073,134,7,2.5
1074,135,1,2.5
1075,135,2,6.0
1076,135,3,2.0
1077,135,4,9.5
1078,135,5,8.0
1079,135,6,12.0
1080,135,7,3.0
1081,135,8,2.0
1082,136,1,1.0
1083,136,2,14.0
1084,136,3,11.5
1085,136,4,13.0
1086,136,5,14.0
1087,136,6,9.0
1088,136,7,18.0
1089,136,8,14.5
1090,137,1,19.0
1091,137,2,16.5
1092,137,3,9.0
1093,137,4,16.0
1094,137,5,8.5
1095,137,6,16.0
1096,137,7,7.0
1097,137,8,8.5
1098,138,1,7.5
1099,138,2,11.0
1100,138,3,7.5
1101,138,4,18.5
1102,138,5,2.5
1103,138,6,20.0
1104,138,7,1.5
1105,138,8,3.5
1106,139,1,6.5
1107,139,2,2.5
1108,139,3,18.0
1109,139,4,2.5
1110,139,5,12.0
1111,139,6,7.0
1112,139,7,9.5
1113,139,8,7.0
1114,140,1,14.0
1115,140,2,17.5
1116,140,3,8.5
1117,140,4,2.0
1118,140,5,5.0
1119,140,6,15.5
1120,140,7,15.0
1121,140,8,20.0
1122,141,1,11.0
1123,141,2,18.0
1124,141,3,6.5
1125,141,4,8.0
1126,141,5,10.5
1127,141,6,17.0
1128,141,7,13.5
1129,141,11,11.5
1130,142,1,12.0
1131,142,2,3.5
1132,142,3,1.5
1133,142,4,15.0
1134,142,5,19.0
1135,142,6,1.5
1136,142,7,15.0
1137,143,1,15.5
1138,143,2,18.5
1139,143,3,12.0
1140,143,4,12.5
1141,143,5,1.0
1142,143,6,5.5
1143,143,7,11.5
1144,143,9,15.0
1145,144,1,14.0
1146,144,2,14.0
1147,144,3,19.0
1148,144,4,10.5
1149,144,5,7.0
1150,144,6,2.0
1151,144,7,16.0
1152,145,1,9.0
1153,145,2,2.5
1154,145,3,2.0
1155,145,4,6.0
1156,145,5,4.0
1157,145,6,8.5
1158,145,7,3.5
1159,145,10,6.5
1160,146,1,5.0
1161,146,2,19.5
1162,146,3,6.5
1163,146,4,15.5
1164,146,5,19.5
1165,146,6,11.0
1166,146,7,6.0
1167,146,9,14.0
1168,147,1,7.0
1169,147,2,15.5
1170,147,3,19.0
1171,147,4,7.0
1172,147,5,17.0
1173,147,6,2.5
1174,147,7,1.0
1175,147,9,15.0
1176,148,1,15.0
1177,148,2,5.5
1178,148,3,20.0
1179,148,4,2.0
1180,148,5,13.5
1181,148,6,20.0
1182,148,7,12.0
1183,148,8,0.5
1184,149,1,6.0
1185,149,2,1.0
1186,149,3,4.5
1187,149,4,2.5
1188,149,5,16.0
1189,149,6,14.0
1190,149,7,12.5
1191,149,8,13.5
1192,150,1,10.5
1193,150,2,16.0
1194,150,3,17.0
1195,150,4,18.0
1196,150,5,1.5
1197,150,6,19.5
1198,150,7,3.0
1199,150,8,18.5
1200,151,1,10.0
1201,151,2,16.5
1202,151,3,9.5
1203,151,4,13.0
1204,151,5,16.5
1205,151,6,15.5
1206,151,7,16.5
1207,151,8,7.0
1208,151,9,2.0
1209,152,1,11.5
1210,152,2,6.0
1211,152,3,6.5
1212,152,4,10.5
1213,152,5,3.0
1214,152,6,14.0
1215,152,7,11.5
1216,152,8,12.5
1217,153,1,13.5
1218,153,2,7.0
1219,153,3,19.5
1220,153,4,15.0
1221,153,5,18.0
1222,153,6,14.5
1223,153,7,12.0
1224,153,8,9.5
1225,154,1,1.0
1226,154,2,2.0
1227,154,3,15.5
1228,154,4,7.5
1229,154,5,14.0
1230,154,6,7.0
1231,154,7,7.0
1232,154,9,14.5
1233,155,1,0.5
1234,155,2,5.5
1235,155,3,13.0
1236,155,4,15.0
1237,155,5,6.0
1238,155,6,16.0
1239,155,7,3.0
1240,156,1,5.0
1241,156,2,14.0
1242,156,3,2.5
1243,156,4,15.5
1244,156,5,5.5
1245,156,6,7.5
1246,156,7,13.0
1247,156,8,3.0
1248,157,1,1.0
1249,157,2,6.0
1250,157,3,12.0
1251,157,4,1.0
1252,157,5,9.0
1253,157,6,16.5
1254,157,7,10.0
1255,157,8,8.0
1256,157,10,13.5
1257,158,1,14.5
1258,158,2,5.0
1259,158,3,14.5
1260,158,4,4.5
1261,158,5,16.5
1262,158,6,10.5
1263,158,7,9.0
1264,158,8,14.0
1265,158,9,10.0
1266,159,1,17.0
1267,159,2,2.0
1268,159,3,17.0
1269,159,4,8.5
1270,159,5,16.5
1271,159,6,11.5
1272,159,7,5.0
1273,159,10,12.0
1274,160,1,1.5
1275,160,2,10.5
1276,160,3,19.0
1277,160,4,1.5
1278,160,5,1.0
1279,160,6,3.0
1280,160,7,20.0
1281,160,8,15.0
1282,161,1,13.0
1283,161,2,2.5
1284,161,3,1.0
1285,161,4,14.0
1286,161,5,4.0
1287,161,6,12.0
1288,161,7,5.5
1289,161,8,13.0
1290,162,1,17.0
1291,162,2,18.5
1292,162,3,9.0
1293,162,4,10.0
1294,162,5,3.0
1295,162,6,8.5
1296,162,7,12.0
1297,162,8,7.5
1298,162,11,10.0
1299,163,1,7.0
1300,163,2,12.5
1301,163,3,12.0
1302,163,4,19.0
1303,163,5,14.0
1304,163,6,6.5
1305,163,7,18.0
1306,163,8,8.0
1307,164,1,12.5
1308,164,2,16.0
1309,164,3,6.5
1310,164,4,8.5
1311,164,5,5.5
1312,164,6,2.5
1313,164,7,10.5
1314,164,10,17.0
1315,165,1,10.5
1316,165,2,13.5
1317,165,3,6.5
1318,165,4,5.5
1319,165,5,0.5
1320,165,6,7.0
1321,165,7,2.0
1322,165,8,8.0
1323,165,9,7.5
1324,166,1,6.5
1325,166,2,19.0
1326,166,3,4.0
1327,166,4,7.0
1328,166,5,10.0
1329,166,6,6.5
1330,166,7,2.5
1331,166,9,3.5
1332,167,1,12.5
1333,167,2,16.5
1334,167,3,17.5
1335,167,4,16.5
1336,167,5,13.5
1337,167,6,18.0
1338,167,7,1.5
1339,167,8,19.0
1340,168,1,11.0
1341,168,2,2.5
1342,168,3,6.0
1343,168,4,16.0
1344,168,5,14.0
1345,168,6,5.0
1346,168,7,4.5
1347,168,8,15.5
1348,168,10,10.5
1349,169,1,16.5
1350,169,2,18.0
1351,169,3,3.5
1352,169,4,15.5
1353,169,5,12.5
1354,169,6,1.0
1355,169,7,19.0
1356,169,8,9.0
1357,170,1,4.5
1358,170,2,13.0
1359,170,3,14.5
1360,170,4,16.0
